ID,Name,Label
D417,"Điều 417. Tội cố ý bỏ thương binh, tử sĩ hoặc không chăm sóc, cứu chữa thương binh",Điều
K1_D417,"Khoản 1 Điều 417",Khoản
HV_K1_D417,"Người nào có trách nhiệm mà cố ý bỏ thương binh, tử sĩ tại trận địa hoặc không chăm sóc, cứu chữa thương binh dẫn đến không tìm thấy thương binh, tử sĩ hoặc thương binh bị chết","Hành vi chính"
HP_K1_D417,"Phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 05 năm","Hình phạt"
K2_D417,"Khoản 2 Điều 417",Khoản
OR_K2_D417,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D417,"a) Là chỉ huy hoặc sĩ quan",Điểm
P_b_K2_D417,"b) Đối với 02 thương binh hoặc 02 tử sĩ trở lên",Điểm
HP_K2_D417,"Phạt tù từ 03 năm đến 10 năm","Hình phạt"
D418,"Điều 418. Tội chiếm đoạt hoặc hủy hoại di vật của tử sĩ",Điều
K1_D418,"Khoản 1 Điều 418",Khoản
HV_K1_D418,"Người nào chiếm đoạt hoặc hủy hoại di vật của tử sĩ","Hành vi chính"
HP_K1_D418,"Phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm","Hình phạt"
K2_D418,"Khoản 2 Điều 418",Khoản
OR_K2_D418,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D418,"a) Là chỉ huy hoặc sĩ quan",Điểm
P_b_K2_D418,"b) Chiếm đoạt hoặc hủy hoại di vật của 02 tử sĩ trở lên",Điểm
HP_K2_D418,"Phạt tù từ 02 năm đến 07 năm","Hình phạt"
D419,"Điều 419. Tội chiếm đoạt hoặc hủy hoại chiến lợi phẩm",Điều
K1_D419,"Khoản 1 Điều 419",Khoản
HV_K1_D419,"Người nào trong chiến đấu hoặc khi thu dọn chiến trường mà chiếm đoạt hoặc hủy hoại chiến lợi phẩm","Hành vi chính"
HP_K1_D419,"Phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm","Hình phạt"
K2_D419,"Khoản 2 Điều 419",Khoản
OR_K2_D419,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K2_D419,"a) Là chỉ huy hoặc sĩ quan",Điểm
P_b_K2_D419,"b) Chiến lợi phẩm trị giá từ 100.000.000 đồng đến dưới 500.000.000 đồng",Điểm
P_c_K2_D419,"c) Gây ảnh hưởng xấu đến uy tín quân đội",Điểm
P_d_K2_D419,"d) Chiến lợi phẩm có giá trị trong quân sự",Điểm
P_dd_K2_D419,"đ) Gây hậu quả nghiêm trọng hoặc rất nghiêm trọng",Điểm
HP_K2_D419,"Phạt tù từ 03 năm đến 07 năm","Hình phạt"
K3_D419,"Khoản 3 Điều 419",Khoản
OR_K3_D419,"Phạm tội thuộc một trong các trường hợp sau đây","Node Logic OR"
P_a_K3_D419,"a) Chiến lợi phẩm trị giá 500.000.000 đồng trở lên",Điểm
P_b_K3_D419,"b) Chiến lợi phẩm có giá trị đặc biệt trong quân sự",Điểm
P_c_K3_D419,"c) Gây hậu quả đặc biệt nghiêm trọng",Điểm
HP_K3_D419,"Phạt tù từ 05 năm đến 10 năm","Hình phạt"
D420,"Điều 420. Tội ngược đãi tù binh, hàng binh",Điều
K1_D420,"Khoản duy nhất Điều 420",Khoản
HV_K1_D420,"Người nào ngược đãi tù binh, hàng binh","Hành vi chính"
HP_K1_D420,"Phạt cải tạo không giam giữ đến 01 năm hoặc phạt tù từ 03 tháng đến 02 năm","Hình phạt"
